data_sessao,nome_discursante,genero_discursante,categoria_discursante,tempo_fala
2021-07-08,ELIZIANE GAMA,Feminino,Senador/a,1920
2021-07-08,RANDOLFE RODRIGUES,Masculino,Senador/a,1440
2021-07-08,IZALCI LUCAS,Masculino,Senador/a,720
2021-07-08,FRANCIELI FONTANA SUTILE TARDETTI FANTINATO,Feminino,Depoente/Convidado,7200
2021-07-08,RENAN CALHEIROS,Masculino,Senador/a,960
2021-07-08,FRANCIELI FONTANA SUTILE FANTINATO,Feminino,Depoente/Convidado,0
2021-07-08,THIAGO LEÔNIDAS,Masculino,Depoente/Convidado,240
2021-07-08,OTTO ALENCAR,Masculino,Senador/a,1200
2021-07-08,MARCOS DO VAL,Masculino,Senador/a,240
2021-07-08,EDUARDO GIRÃO,Masculino,Senador/a,480
2021-07-08,ROGÉRIO CARVALHO,Masculino,Senador/a,960
2021-07-08,LUIS CARLOS HEINZE,Masculino,Senador/a,240
2021-07-08,JORGINHO MELLO,Masculino,Senador/a,480
2021-07-08,ZENAIDE MAIA,Feminino,Senador/a,480
2021-07-08,SORAYA THRONICKE,Feminino,Senador/a,240
2021-07-08,SIMONE TEBET,Feminino,Senador/a,240
2021-07-08,FABIANO CONTARATO,Masculino,Senador/a,720
2021-07-09,OMAR AZIZ,Masculino,Senador/a,480
2021-07-09,HUMBERTO COSTA,Masculino,Senador/a,960
2021-07-09,WILLIAM AMORIM SANTANA,Masculino,Depoente/Convidado,5760
2021-07-09,ELIANA MARIA DIAS SANTIAGO,Feminino,Depoente/Convidado,0
2021-07-09,RANDOLFE RODRIGUES,Masculino,Senador/a,2160
2021-07-09,RENAN CALHEIROS,Masculino,Senador/a,1680
2021-07-09,SIMONE TEBET,Feminino,Senador/a,1200
2021-07-09,IZALCI LUCAS,Masculino,Senador/a,480
2021-07-09,MARCOS ROGÉRIO,Masculino,Senador/a,480
2021-07-09,EDUARDO GIRÃO,Masculino,Senador/a,480
2021-07-09,ROGÉRIO CARVALHO,Masculino,Senador/a,2640
2021-07-09,FABIANO CONTARATO,Masculino,Senador/a,240
2021-07-09,JORGINHO MELLO,Masculino,Senador/a,0
2021-07-09,FLÁVIO BOLSONARO,Masculino,Senador/a,480
2021-07-09,SORAYA THRONICKE,Feminino,Senador/a,240
2021-07-13,OMAR AZIZ,Masculino,Senador/a,28320
2021-07-13,EDUARDO GIRÃO,Masculino,Senador/a,240
2021-07-13,ELIZIANE GAMA,Feminino,Senador/a,720
2021-07-13,SIMONE TEBET,Feminino,Senador/a,720
2021-07-13,ROGÉRIO CARVALHO,Masculino,Senador/a,480
2021-07-13,EDUARDO BRAGA,Masculino,Senador/a,240
2021-07-13,HUMBERTO COSTA,Masculino,Senador/a,240
2021-07-13,LUIS CARLOS HEINZE,Masculino,Senador/a,240
2021-07-13,EMANUELA BATISTA DE SOUZA MEDRADES,Feminino,Depoente/Convidado,240
2021-07-13,IZALCI LUCAS,Masculino,Senador/a,0
2021-07-13,ALESSANDRO VIEIRA,Masculino,Senador/a,240
2021-07-13,RANDOLFE RODRIGUES,Masculino,Senador/a,1200
2021-07-13,MARCOS ROGÉRIO,Masculino,Senador/a,240
2021-07-13,FABIANO CONTARATO,Masculino,Senador/a,240
2021-07-13,TICIANO FIGUEIREDO DE OLIVEIRA,Masculino,Depoente/Convidado,0
2021-07-13,RENAN CALHEIROS,Masculino,Senador/a,1200
2021-07-13,PEDRO IVO VELLOSO,Masculino,Depoente/Convidado,0
2021-07-13,FERNANDO BEZERRA COELHO,Masculino,Senador/a,0
2021-07-13,SORAYA THRONICKE,Feminino,Senador/a,240
2021-07-14,OMAR AZIZ,Masculino,Senador/a,2160
2021-07-14,ELIZIANE GAMA,Feminino,Senador/a,1440
2021-07-14,TICIANO FIGUEIREDO DE OLIVEIRA,Masculino,Depoente/Convidado,0
2021-07-14,EMANUELA BATISTA DE SOUZA MEDRADES,Feminino,Depoente/Convidado,6480
2021-07-14,RENAN CALHEIROS,Masculino,Senador/a,2160
2021-07-14,ALESSANDRO VIEIRA,Masculino,Senador/a,720
2021-07-14,EDUARDO BRAGA,Masculino,Senador/a,720
2021-07-14,FERNANDO BEZERRA COELHO,Masculino,Senador/a,0
2021-07-14,SIMONE TEBET,Feminino,Senador/a,240
2021-07-14,RANDOLFE RODRIGUES,Masculino,Senador/a,4800
2021-07-14,PEDRO IVO VELLOSO,Masculino,Depoente/Convidado,240
2021-07-14,IZALCI LUCAS,Masculino,Senador/a,960
2021-07-14,MARCOS ROGÉRIO,Masculino,Senador/a,960
2021-07-14,FLÁVIO BOLSONARO,Masculino,Senador/a,720
2021-07-14,HUMBERTO COSTA,Masculino,Senador/a,720
2021-07-14,ROGÉRIO CARVALHO,Masculino,Senador/a,480
2021-07-14,EDUARDO GIRÃO,Masculino,Senador/a,960
2021-07-14,TASSO JEREISSATI,Masculino,Senador/a,240
2021-07-14,FABIANO CONTARATO,Masculino,Senador/a,240
2021-07-14,SORAYA THRONICKE,Feminino,Senador/a,0
2021-07-14,LEILA BARROS,Feminino,Senador/a,0
2021-07-15,OMAR AZIZ,Masculino,Senador/a,1200
2021-07-15,HUMBERTO COSTA,Masculino,Senador/a,960
2021-07-15,MARCOS ROGÉRIO,Masculino,Senador/a,1440
2021-07-15,RENAN CALHEIROS,Masculino,Senador/a,2400
2021-07-15,RANDOLFE RODRIGUES,Masculino,Senador/a,2640
2021-07-15,ROGÉRIO CARVALHO,Masculino,Senador/a,1200
2021-07-15,ELIZIANE GAMA,Feminino,Senador/a,2400
2021-07-15,EDUARDO BRAGA,Masculino,Senador/a,480
2021-07-15,FERNANDO BEZERRA COELHO,Masculino,Senador/a,960
2021-07-15,FABIANO CONTARATO,Masculino,Senador/a,0
2021-07-15,LUIS CARLOS HEINZE,Masculino,Senador/a,720
2021-07-15,CRISTIANO ALBERTO HOSSRI CARVALHO,Masculino,Depoente/Convidado,6000
2021-07-15,ZENAIDE MAIA,Feminino,Senador/a,240
2021-07-15,EDUARDO GIRÃO,Masculino,Senador/a,1200
2021-07-15,LEILA BARROS,Feminino,Senador/a,720
2021-07-15,JORGINHO MELLO,Masculino,Senador/a,240
2021-07-15,FÁBIO HENRIQUE MING MARTINI,Masculino,Depoente/Convidado,0
2021-07-15,SIMONE TEBET,Feminino,Senador/a,960
2021-07-15,MARCOS DO VAL,Masculino,Senador/a,240
2021-07-15,IZALCI LUCAS,Masculino,Senador/a,0
